parallel 24 1 1 1 (10 times)
time: 267ms, throughput: 62.8360149812734 M/s
time: 270ms, throughput: 62.13783703703703 M/s
time: 311ms, throughput: 53.946032154340834 M/s
time: 240ms, throughput: 69.90506666666667 M/s
time: 318ms, throughput: 52.75854088050314 M/s
time: 269ms, throughput: 62.36883271375464 M/s
time: 270ms, throughput: 62.13783703703703 M/s
time: 314ms, throughput: 53.43062420382165 M/s
parallel 24 5 4 1 (10 times)
time: 142ms, throughput: 118.14940845070423 M/s
time: 221ms, throughput: 75.91500452488687 M/s
time: 163ms, throughput: 102.92770552147239 M/s
time: 146ms, throughput: 114.91243835616439 M/s
time: 212ms, throughput: 79.13781132075472 M/s
time: 213ms, throughput: 78.76627230046948 M/s
time: 143ms, throughput: 117.32318881118881 M/s
time: 153ms, throughput: 109.6550065359477 M/s
time: 213ms, throughput: 78.76627230046948 M/s
time: 147ms, throughput: 114.13072108843538 M/s
parallel 24 5 8 1 (10 times)
time: 94ms, throughput: 178.48102127659573 M/s
time: 96ms, throughput: 174.76266666666666 M/s
time: 86ms, throughput: 195.0839069767442 M/s
time: 94ms, throughput: 178.48102127659573 M/s
time: 210ms, throughput: 79.89150476190476 M/s
time: 213ms, throughput: 78.76627230046948 M/s
time: 94ms, throughput: 178.48102127659573 M/s
time: 202ms, throughput: 83.05552475247524 M/s
time: 94ms, throughput: 178.48102127659573 M/s
time: 147ms, throughput: 114.13072108843538 M/s
parallel 24 5 16 1 (10 times)
time: 189ms, throughput: 88.76833862433863 M/s
time: 186ms, throughput: 90.20008602150537 M/s
time: 91ms, throughput: 184.36501098901098 M/s
time: 91ms, throughput: 184.36501098901098 M/s
time: 92ms, throughput: 182.36104347826085 M/s
time: 89ms, throughput: 188.50804494382024 M/s
time: 84ms, throughput: 199.72876190476188 M/s
time: 90ms, throughput: 186.41351111111112 M/s
time: 89ms, throughput: 188.50804494382024 M/s
time: 89ms, throughput: 188.50804494382024 M/s
parallel 24 5 32 1 (10 times)
time: 90ms, throughput: 186.41351111111112 M/s
time: 85ms, throughput: 197.37901176470587 M/s
time: 179ms, throughput: 93.72746368715083 M/s
time: 179ms, throughput: 93.72746368715083 M/s
time: 188ms, throughput: 89.24051063829786 M/s
time: 179ms, throughput: 93.72746368715083 M/s
time: 91ms, throughput: 184.36501098901098 M/s
time: 185ms, throughput: 90.68765405405405 M/s
time: 90ms, throughput: 186.41351111111112 M/s
time: 191ms, throughput: 87.83882722513088 M/s
parallel 24 6 1 1 (10 times)
time: 634ms, throughput: 26.462485804416403 M/s
time: 638ms, throughput: 26.296576802507836 M/s
time: 626ms, throughput: 26.800664536741213 M/s
time: 623ms, throughput: 26.92972070626003 M/s
time: 631ms, throughput: 26.58829793977813 M/s
time: 638ms, throughput: 26.296576802507836 M/s
time: 622ms, throughput: 26.973016077170417 M/s
time: 635ms, throughput: 26.420812598425194 M/s
time: 622ms, throughput: 26.973016077170417 M/s
time: 636ms, throughput: 26.37927044025157 M/s
parallel 24 6 2 1 (10 times)
time: 325ms, throughput: 51.62220307692307 M/s
time: 329ms, throughput: 50.99457750759878 M/s
time: 319ms, throughput: 52.59315360501567 M/s
time: 278ms, throughput: 60.34969784172661 M/s
time: 280ms, throughput: 59.91862857142856 M/s
time: 320ms, throughput: 52.428799999999995 M/s
time: 331ms, throughput: 50.68645317220543 M/s
time: 280ms, throughput: 59.91862857142856 M/s
time: 318ms, throughput: 52.75854088050314 M/s
time: 277ms, throughput: 60.5675667870036 M/s
parallel 24 6 4 1 (10 times)
time: 148ms, throughput: 113.35956756756757 M/s
time: 227ms, throughput: 73.90844052863436 M/s
time: 150ms, throughput: 111.84810666666667 M/s
time: 225ms, throughput: 74.56540444444444 M/s
time: 172ms, throughput: 97.5419534883721 M/s
time: 150ms, throughput: 111.84810666666667 M/s
time: 167ms, throughput: 100.46237125748502 M/s
time: 226ms, throughput: 74.23546902654867 M/s
time: 149ms, throughput: 112.59876510067114 M/s
time: 119ms, throughput: 140.98500840336135 M/s
parallel 24 6 8 1 (10 times)
time: 94ms, throughput: 178.48102127659573 M/s
time: 215ms, throughput: 78.03356279069767 M/s
time: 97ms, throughput: 172.96098969072165 M/s
time: 211ms, throughput: 79.51287203791469 M/s
time: 94ms, throughput: 178.48102127659573 M/s
time: 97ms, throughput: 172.96098969072165 M/s
time: 96ms, throughput: 174.76266666666666 M/s
time: 96ms, throughput: 174.76266666666666 M/s
time: 214ms, throughput: 78.39820560747664 M/s
time: 210ms, throughput: 79.89150476190476 M/s
parallel 24 6 16 1 (10 times)
time: 89ms, throughput: 188.50804494382024 M/s
time: 90ms, throughput: 186.41351111111112 M/s
time: 86ms, throughput: 195.0839069767442 M/s
time: 89ms, throughput: 188.50804494382024 M/s
time: 91ms, throughput: 184.36501098901098 M/s
time: 146ms, throughput: 114.91243835616439 M/s
time: 193ms, throughput: 86.92858031088082 M/s
time: 189ms, throughput: 88.76833862433863 M/s
time: 92ms, throughput: 182.36104347826085 M/s
time: 91ms, throughput: 184.36501098901098 M/s
parallel 24 6 32 1 (10 times)
time: 85ms, throughput: 197.37901176470587 M/s
time: 184ms, throughput: 91.18052173913043 M/s
time: 85ms, throughput: 197.37901176470587 M/s
time: 138ms, throughput: 121.57402898550723 M/s
time: 192ms, throughput: 87.38133333333333 M/s
time: 138ms, throughput: 121.57402898550723 M/s
time: 92ms, throughput: 182.36104347826085 M/s
time: 189ms, throughput: 88.76833862433863 M/s
time: 184ms, throughput: 91.18052173913043 M/s
time: 91ms, throughput: 184.36501098901098 M/s
parallel 24 7 1 1 (10 times)
time: 711ms, throughput: 23.596646976090014 M/s
time: 699ms, throughput: 24.001739628040056 M/s
time: 695ms, throughput: 24.13987913669065 M/s
time: 700ms, throughput: 23.96745142857143 M/s
time: 436ms, throughput: 38.47985321100917 M/s
time: 688ms, throughput: 24.385488372093025 M/s
time: 658ms, throughput: 25.49728875379939 M/s
time: 690ms, throughput: 24.31480579710145 M/s
time: 689ms, throughput: 24.35009579100145 M/s
time: 652ms, throughput: 25.731926380368098 M/s
parallel 24 7 2 1 (10 times)
time: 320ms, throughput: 52.428799999999995 M/s
time: 358ms, throughput: 46.863731843575415 M/s
time: 363ms, throughput: 46.218225895316806 M/s
time: 367ms, throughput: 45.71448501362398 M/s
time: 365ms, throughput: 45.96497534246575 M/s
time: 366ms, throughput: 45.83938797814208 M/s
time: 314ms, throughput: 53.43062420382165 M/s
time: 320ms, throughput: 52.428799999999995 M/s
time: 317ms, throughput: 52.924971608832806 M/s
time: 316ms, throughput: 53.09245569620253 M/s
parallel 24 7 4 1 (10 times)
time: 167ms, throughput: 100.46237125748502 M/s
time: 255ms, throughput: 65.79300392156863 M/s
time: 251ms, throughput: 66.84149800796813 M/s
time: 209ms, throughput: 80.27376076555024 M/s
time: 258ms, throughput: 65.02796899224806 M/s
time: 254ms, throughput: 66.052031496063 M/s
time: 166ms, throughput: 101.06756626506024 M/s
time: 164ms, throughput: 102.3000975609756 M/s
time: 254ms, throughput: 66.052031496063 M/s
time: 170ms, throughput: 98.68950588235293 M/s
parallel 24 7 8 1 (10 times)
time: 101ms, throughput: 166.11104950495047 M/s
time: 101ms, throughput: 166.11104950495047 M/s
time: 87ms, throughput: 192.8415632183908 M/s
time: 100ms, throughput: 167.77215999999999 M/s
time: 100ms, throughput: 167.77215999999999 M/s
time: 100ms, throughput: 167.77215999999999 M/s
time: 231ms, throughput: 72.62864069264069 M/s
time: 225ms, throughput: 74.56540444444444 M/s
time: 228ms, throughput: 73.58428070175438 M/s
time: 222ms, throughput: 75.57304504504503 M/s
parallel 24 7 16 1 (10 times)
time: 196ms, throughput: 85.59804081632652 M/s
time: 92ms, throughput: 182.36104347826085 M/s
time: 205ms, throughput: 81.84007804878048 M/s
time: 92ms, throughput: 182.36104347826085 M/s
time: 91ms, throughput: 184.36501098901098 M/s
time: 91ms, throughput: 184.36501098901098 M/s
time: 85ms, throughput: 197.37901176470587 M/s
time: 198ms, throughput: 84.73341414141413 M/s
time: 198ms, throughput: 84.73341414141413 M/s
time: 90ms, throughput: 186.41351111111112 M/s
parallel 24 7 32 1 (10 times)
time: 87ms, throughput: 192.8415632183908 M/s
time: 93ms, throughput: 180.40017204301074 M/s
time: 205ms, throughput: 81.84007804878048 M/s
time: 196ms, throughput: 85.59804081632652 M/s
time: 202ms, throughput: 83.05552475247524 M/s
time: 147ms, throughput: 114.13072108843538 M/s
time: 93ms, throughput: 180.40017204301074 M/s
time: 93ms, throughput: 180.40017204301074 M/s
time: 197ms, throughput: 85.16353299492386 M/s
time: 92ms, throughput: 182.36104347826085 M/s
parallel 24 8 1 1 (10 times)
time: 706ms, throughput: 23.763762039660058 M/s
time: 700ms, throughput: 23.96745142857143 M/s
time: 706ms, throughput: 23.763762039660058 M/s
time: 666ms, throughput: 25.19101501501501 M/s
time: 696ms, throughput: 24.10519540229885 M/s
time: 705ms, throughput: 23.7974695035461 M/s
time: 432ms, throughput: 38.83614814814815 M/s
time: 705ms, throughput: 23.7974695035461 M/s
time: 711ms, throughput: 23.596646976090014 M/s
time: 705ms, throughput: 23.7974695035461 M/s
parallel 24 8 2 1 (10 times)
time: 396ms, throughput: 42.366707070707065 M/s
time: 351ms, throughput: 47.798336182336186 M/s
time: 393ms, throughput: 42.69011704834605 M/s
time: 354ms, throughput: 47.39326553672316 M/s
time: 396ms, throughput: 42.366707070707065 M/s
time: 394ms, throughput: 42.58176649746193 M/s
time: 352ms, throughput: 47.66254545454545 M/s
time: 395ms, throughput: 42.473964556962024 M/s
time: 396ms, throughput: 42.366707070707065 M/s
time: 350ms, throughput: 47.93490285714286 M/s
parallel 24 8 4 1 (10 times)
time: 271ms, throughput: 61.90854612546125 M/s
time: 277ms, throughput: 60.5675667870036 M/s
time: 280ms, throughput: 59.91862857142856 M/s
time: 182ms, throughput: 92.18250549450549 M/s
time: 182ms, throughput: 92.18250549450549 M/s
time: 183ms, throughput: 91.67877595628416 M/s
time: 132ms, throughput: 127.1001212121212 M/s
time: 278ms, throughput: 60.34969784172661 M/s
time: 185ms, throughput: 90.68765405405405 M/s
time: 183ms, throughput: 91.67877595628416 M/s
parallel 24 8 8 1 (10 times)
time: 239ms, throughput: 70.19755648535565 M/s
time: 105ms, throughput: 159.7830095238095 M/s
time: 105ms, throughput: 159.7830095238095 M/s
time: 89ms, throughput: 188.50804494382024 M/s
time: 240ms, throughput: 69.90506666666667 M/s
time: 242ms, throughput: 69.32733884297521 M/s
time: 239ms, throughput: 70.19755648535565 M/s
time: 88ms, throughput: 190.6501818181818 M/s
time: 106ms, throughput: 158.27562264150944 M/s
time: 252ms, throughput: 66.57625396825397 M/s
parallel 24 8 16 1 (10 times)
time: 92ms, throughput: 182.36104347826085 M/s
